product, format, threads, cavity10.mtx, roadNet-PA.mtx, nlpkkt80.mtx, mac_econ_fwd500.mtx, thermomech_TK.mtx, PR02R.mtx, thermal2.mtx, FEM_3D_thermal1.mtx, olafu.mtx, amazon0302.mtx, adder_dcop_32.mtx, rdist2.mtx, olm1000.mtx, webbase-1M.mtx, cant.mtx, af_1_k101.mtx, mhd4800a.mtx, thermal1.mtx, cop20k_A.mtx, bcsstk17.mtx, raefsky2.mtx, cage4.mtx, Cube_Coup_dt0.mtx, mcfe.mtx, west2021.mtx, ML_Laplace.mtx, lung2.mtx, af23560.mtx, dc1.mtx
2, 2, 33, 1.07994e+09, 3.80424e+09, 4.8885e+09, 1.10302e+10, 1.7978e+09, 5.23117e+09, 3.7722e+09, 7.66077e+08, 1.19042e+10, 6.58832e+09, 3.11119e+08, 4.61922e+08, 1.94679e+07, 2.65782e+09, 1.16494e+10, 6.88302e+09, 1.6809e+08, 1.02411e+10, 5.958e+09, 1.35367e+09, 1.03122e+10, 6.6209e+06, 6.76852e+09, 1.51147e+09, 9.19402e+08, 5.03015e+09, 7.69636e+09, 5.36795e+08, 2.63435e+09
2, 2, 34, 3.81417e+09, 3.89661e+09, 4.97519e+09, 1.15867e+10, 1.83947e+09, 5.2417e+09, 4.34672e+09, 1.19823e+09, 3.0965e+09, 6.82473e+09, 4.1544e+07, 1.01098e+09, 1.81651e+07, 2.6997e+09, 1.1646e+10, 6.8269e+09, 2.612e+08, 1.05346e+10, 6.27185e+09, 9.83304e+08, 1.05453e+10, 6.02193e+06, 6.45012e+09, 1.53055e+09, 6.08517e+08, 4.99703e+09, 1.94194e+09, 1.29992e+09, 2.67104e+09
2, 2, 35, 5.11888e+09, 3.90612e+09, 4.97646e+09, 1.15282e+10, 1.64336e+09, 5.23655e+09, 4.33053e+09, 1.22434e+09, 2.90263e+09, 6.20128e+09, 3.08354e+08, 2.07265e+08, 1.32671e+08, 2.75861e+09, 1.19619e+10, 6.69212e+09, 1.71556e+08, 1.07978e+10, 6.52269e+09, 8.92802e+08, 1.0871e+10, 400778, 6.59907e+09, 6.21081e+08, 8.56914e+08, 4.9942e+09, 8.0562e+08, 8.27225e+08, 2.67163e+09
2, 2, 36, 5.18427e+09, 3.71875e+09, 4.96965e+09, 1.20519e+10, 1.22774e+09, 5.1961e+09, 4.28321e+09, 1.03923e+09, 1.60784e+09, 6.94677e+09, 1.01149e+08, 1.91783e+08, 2.06247e+07, 2.75651e+09, 1.17012e+10, 6.86765e+09, 3.19488e+08, 8.04065e+09, 6.78392e+09, 7.01968e+08, 2.06062e+09, 119314, 6.57451e+09, 1.31105e+09, 7.45877e+08, 4.94672e+09, 7.59582e+08, 7.98548e+08, 2.69828e+09
2, 2, 37, 5.29371e+09, 3.7293e+09, 4.95755e+09, 7.33426e+09, 1.37065e+09, 5.13748e+09, 4.44817e+09, 1.21262e+09, 7.9966e+09, 7.38297e+09, 5.09631e+07, 1.40329e+09, 1.8857e+07, 2.85129e+09, 1.18781e+10, 6.91524e+09, 2.21846e+09, 1.0766e+10, 7.02387e+09, 1.32057e+09, 9.97016e+08, 200452, 6.48471e+09, 1.48186e+09, 8.25436e+08, 4.91529e+09, 1.34534e+09, 3.01246e+09, 2.69272e+09
2, 2, 38, 5.43278e+09, 3.69893e+09, 4.94989e+09, 1.19496e+10, 1.76669e+09, 5.12118e+09, 4.52093e+09, 9.19588e+08, 1.38301e+10, 7.54771e+09, 3.89247e+07, 2.58541e+08, 5.15939e+07, 2.9327e+09, 1.19346e+10, 6.88388e+09, 5.62834e+09, 1.1483e+10, 7.25871e+09, 7.23241e+08, 1.0118e+09, 200231, 6.50598e+09, 1.47874e+09, 7.24419e+08, 4.82194e+09, 1.46141e+09, 9.46643e+08, 2.72568e+09
2, 2, 39, 5.56868e+09, 3.68155e+09, 4.93106e+09, 1.28947e+10, 1.37097e+09, 5.07866e+09, 4.60013e+09, 5.67445e+09, 1.52535e+10, 7.70603e+09, 3.81276e+07, 1.67741e+09, 2.49438e+08, 3.03438e+09, 1.11218e+10, 6.76532e+09, 6.54659e+09, 1.18155e+10, 7.42691e+09, 1.31612e+09, 3.53771e+09, 495661, 6.62898e+09, 1.55569e+09, 7.8616e+08, 4.91535e+09, 1.47267e+09, 1.20255e+09, 2.71416e+09
2, 2, 40, 5.46489e+09, 3.24622e+09, 4.92275e+09, 1.3215e+10, 1.34216e+09, 5.02234e+09, 4.44871e+09, 1.16781e+10, 1.58286e+10, 7.73913e+09, 1.84439e+07, 2.09569e+08, 3.88116e+08, 3.09618e+09, 1.20166e+10, 6.78111e+09, 7.21791e+09, 1.19009e+10, 7.62038e+09, 7.55824e+08, 1.4201e+09, 2.16153e+06, 6.60326e+09, 1.55228e+09, 6.91491e+08, 4.89982e+09, 1.47747e+09, 8.22028e+08, 2.67836e+09
3, 1, 1,8.97e+09,3.04199e+09,2.89163e+10,-1,4.19771e+09,2.95509e+10,8.28069e+09,3.05478e+09,2.21653e+10,5.25752e+09,-1,1.79192e+09,5.16569e+08,-1,3.37012e+10,2.8627e+10,1.41859e+09,8.13161e+09,1.43975e+10,8.71364e+09,1.71389e+10,8.98851e+06,3.86768e+10,7.17832e+07,1.8563e+08,4.11573e+10,3.02427e+09,1.14747e+10,-1
3, 2, 1,9.54015e+09,2.7001e+09,2.66281e+10,4.21554e+09,6.40742e+09,3.42332e+10,7.79984e+09,2.88612e+09,2.4698e+10,5.03562e+09,3.67156e+08,5.76126e+09,8.13614e+08,2.9723e+09,2.03562e+10,2.95704e+10,1.47169e+09,7.63154e+09,2.15442e+10,1.51345e+10,2.4167e+10,1.0256e+07,5.05e+10,9.33647e+07,2.35688e+08,4.90723e+10,3.08646e+09,1.12541e+10,5.38906e+09
